Name,Salenum,Price,i+1,j,编号,编号（模板）,PRICE,SALENUM,SALE
['茶叶绿茶 送礼佳品  大桶碧螺春180克茶叶 云南特产茶马人家绿茶'],[607],[6.5],[1],食品,,,6.5,607,3945.5
['【七夕情人节礼物】德芙巧克力礼盒装送女友生日礼物女生浪漫表白'],[151507],[22.9],[2],食品,,,22.9,151507,3469510.3
['【浪漫表白】德芙巧克力礼盒装送女友七夕情人节心形生日礼物女生'],[127881],[29.9],[3],食品,,,29.9,127881,3823641.9
['【回购率超高】泽岭 三斤特价云南薄皮核桃坚果零食炒货半斤-九斤'],[236166],[13.9],[4],食品,,,13.9,236166,3282707.4
['【特价11.8/2斤】【品牌旗舰店】泰宗坊广式五仁多味月饼500g-2kg'],[145126],[9.5],[5],食品,,,9.5,145126,1378697
['【憨豆熊】坚果零食干果组合夏威夷果零食大礼包多规格可选'],[2862744],[9.5],[6],食品,,,9.5,2862744,27196068
['【去除黄黑牙】美白牙齿美白神器牙齿亮白洗牙粉祛除牙垢烟渍口臭'],[5433],[35.0],[7],食品,,,35,5433,190155
['原味手抓饼面饼【美粮坊】30片25片20片、60g90g多规格可选7仓发'],[549608],[15.1],[8],食品,,,15.1,549608,8299080.8
['【5袋9.9 15袋送碗筷】派力特3袋-15袋正宗重庆酸辣粉106g/袋粉丝'],[804140],[7.8],[9],食品,,,7.8,804140,6272292
"['【16.8发5斤,仅200份 手慢无】沙琪玛低糖不油腻萨其马休闲零食']",[384488],[16.8],[10],食品,,,16.8,384488,6459398.4
['享食者 每日坚果25g*4/10/15包 小吃干果零食组合孕妇儿童大礼包'],[892776],[8.9],[11],食品,,,8.9,892776,7945706.4
['7月新货胃动力乳酸菌饮品340mlx12瓶酸牛奶饮料多口味套餐可选'],[631236],[19.9],[12],食品,,,19.9,631236,12561596.4
['买2送1三九肾宝100片男女用保健品'],[4485],[19.9],[13],食品,,,19.9,4485,89251.5
['【买一送一】买2斤送2斤飞业爆浆麻薯干吃汤圆零食小吃糕点心500g'],[313331],[8.6],[14],食品,,,8.6,313331,2694646.6
['【7月新货】 伊利安慕希酸奶 原味 香草 蓝莓 205g*12/提常温酸奶'],[155512],[45.9],[15],食品,,,45.9,155512,7138000.8
['【净重2斤·新鲜无添加】洁品手工米锅巴酥孕妇办公室休闲零食特产'],[450199],[9.9],[16],食品,,,9.9,450199,4456970.1
['盼盼手撕面包【2斤整箱】糕点营养早餐面包食品口袋千层点心零食'],[17418],[24.9],[17],食品,,,24.9,17418,433708.2
['40粒酵素梅正品清肠减肥纤体青梅子乌梅瘦身话梅便秘排毒果增强版'],[133614],[29.9],[18],食品,,,29.9,133614,3995058.6
